"player_name","team_abbreviation","age","player_height","player_weight","country","draft_number","gp","pts","reb","ast","ts_pct","from_US","draft_year_cat","is_tall","sc_level"
"Stephen Curry","GSW",35,187.96,83.91452,"USA",7,56,29.4,6.1,6.3,0.656,1,"Veteran",0,"High"
"Stanley Johnson","SAS",27,198.12,109.769264,"USA",8,30,5.8,3.2,2.2,0.625,1,"Prime",0,"Low"
"Spencer Dinwiddie","BKN",30,195.58,97.52228,"USA",38,79,17.3,3.4,6.5,0.573,1,"Veteran",0,"High"
"Skylar Mays","POR",25,193.04,92.98636,"USA",50,6,15.3,3.2,8.3,0.624,1,"Early Prime",0,"High"
"Shake Milton","PHI",26,195.58,92.98636,"USA",54,76,8.4,2.5,3.2,0.575,1,"Prime",0,"Medium"
"Shai Gilgeous-Alexander","OKC",24,198.12,88.45044,"Canada",11,68,31.4,4.8,5.5,0.626,0,"Prime",0,"High"
"Shaedon Sharpe","POR",20,195.58,90.7184,"Canada",7,80,9.9,3,1.2,0.568,0,"Young",0,"Medium"
"Serge Ibaka","MIL",33,210.82,106.59412,"Democratic Republic of the Congo",24,16,4.1,2.8,0.3,0.553,0,"Veteran",1,"Low"
"T.J. Warren","PHX",29,203.2,99.79024,"USA",14,42,7.5,2.9,1,0.55,1,"Veteran",1,"Medium"
"Taj Gibson","WAS",38,205.74,105.233344,"USA",26,49,3.4,1.9,0.7,0.585,1,"Veteran",1,"Low"
"Tari Eason","HOU",22,203.2,97.52228,"USA",17,82,9.3,6,1.1,0.525,1,"Young",1,"Medium"
"Tre Jones","SAS",23,185.42,83.91452,"USA",41,68,12.9,3.6,6.6,0.534,1,"Early Prime",0,"High"
"Trae Young","ATL",24,185.42,74.389088,"USA",5,73,26.2,3,10.2,0.573,1,"Prime",0,"High"
"Tony Bradley","CHI",25,210.82,112.490816,"USA",28,12,1.6,0.9,0.1,0.69,1,"Prime",1,"Low"
"Tobias Harris","PHI",30,200.66,102.511792,"USA",19,74,14.7,5.7,2.5,0.602,1,"Veteran",0,"High"
"Tim Hardaway Jr.","DAL",31,195.58,92.98636,"USA",24,71,14.4,3.5,1.8,0.554,1,"Veteran",0,"High"
"Thomas Bryant","DEN",25,208.28,112.490816,"USA",42,59,9.8,5.7,0.5,0.682,1,"Prime",1,"Medium"
"Theo Maledon","CHA",22,195.58,79.3786,"France",34,44,6.7,2.8,3.5,0.515,0,"Early Prime",0,"Medium"
"Thanasis Antetokounmpo","MIL",30,200.66,99.336648,"Greece",51,37,1.4,1.2,0.4,0.458,0,"Veteran",0,"Low"
"Thaddeus Young","TOR",35,203.2,106.59412,"USA",12,54,4.4,3.1,1.4,0.573,1,"Veteran",1,"Low"
"Terry Rozier","CHA",29,185.42,86.18248,"USA",16,63,21.1,4.1,5.1,0.517,1,"Prime",0,"High"
